hypocrisy duplicity
important required
intelligent smart
introverted shy
job position
judge conclude
justify substantiate
journey trip
key critical
kind thoughtful
knowledge awareness
lazy idle
love attachment
lucky auspicious
mean unfriendly
more additional
money cash
negative fatalistic
nice pleasant
need require
old antiquated
opportunity chance
outgoing friendly
pacify appease
positive optimistic
quality excellent
question query
quote repeat
qualified eligible
quarantine seclusion
recalcitrant obstinate
rich affluent
strong stable
true genuine
turbulent disordered
unhappy sad
valid authorized
weak frail
xenophobia intolerance
yes agreed
youth minor
yummy delicious
zealous ardent
zero nil
zone area
ability capability
skill capability
role position
achieve attain
angry furious
appreciate cherish
baffle bewilder
beautiful attractive
bossy controlling
but although
challenge dispute
cold chilly
create generate
cute adorable
develop enlarge
different dissimilar
difficult grueling
effective functional
example illustration
excited exhilarated
fair just
focus center
happy content
hardworking diligent
hate abhor
honest honorable
however nevertheless
happy content
hardworking diligent
hate abhor
honest honorable
however nevertheless

